"Index","Potato_Kc","Potato_RD","DryRice_Kc","DryRice_RD"
135,0.78,0.7762,0.9,0.7
136,0.77,0.7805,0.9,0.7
137,0.77,0.7848,0.9,0.7
138,0.76,0.7891,0.9,0.7
139,0.76,0.7934,0.9,0.7
140,0.75,0.7977,0.9,0.7
141,0.74,0.802,0.9,0.7
142,0.74,0.8063,0.9,0.7
143,0.73,0.8106,0.9,0.7
144,0.73,0.8106,0.9,0.7
145,0.73,0.8106,0.9,0.7
146,0.73,0.8106,0.9,0.7
147,0.73,0.8106,0.9,0.7
148,0.73,0.8106,0.9,0.7
149,0.73,0.8106,0.9,0.7
150,0.73,0.8106,0.9,0.7
151,0.73,0.8106,0.9,0.7
152,0.73,0.8106,0.9,0.7
153,0.73,0.8106,0.9,0.7
154,0.73,0.8106,0.9,0.7
155,0.73,0.8106,0.9,0.7
156,0.73,0.8106,0.9,0.7
157,0.73,0.8106,0.9,0.7
158,0.73,0.8106,0.9,0.7
159,0.73,0.8106,0.9,0.7
160,0.73,0.8106,0.9,0.7
161,0.73,0.8106,0.9,0.7
162,0.73,0.8106,0.9,0.7
163,0.73,0.8106,0.9,0.7
164,0.73,0.8106,0.9,0.7
165,0.73,0.8106,0.9,0.7
166,0.73,0.8106,0.9,0.7
167,0.73,0.8106,0.9,0.7
168,0.73,0.8106,0.9,0.7
169,0.73,0.8106,0.9,0.7
170,0.73,0.8106,0.9,0.7
171,0.73,0.8106,0.9,0.7
172,0.73,0.8106,0.9,0.7
173,0.73,0.8106,0.9,0.7
174,0.73,0.8106,0.9,0.7
175,0.73,0.8106,0.9,0.7
176,0.73,0.8106,0.9,0.7
177,0.73,0.8106,0.9,0.7
178,0.73,0.8106,0.9,0.7
179,0.73,0.8106,0.9,0.7
180,0.73,0.8106,0.9,0.7
181,0.73,0.8106,0.9,0.7
182,0.73,0.8106,0.9,0.7
183,0.73,0.8106,0.9,0.7
184,0.73,0.8106,0.9,0.7
185,0.73,0.8106,0.9,0.7
186,0.73,0.8106,0.9,0.7
187,0.73,0.8106,0.9,0.7
188,0.73,0.8106,0.9,0.7
189,0.73,0.8106,0.9,0.7
190,0.73,0.8106,0.9,0.7
191,0.73,0.8106,0.9,0.7
192,0.73,0.8106,0.9,0.7
193,0.73,0.8106,0.9,0.7
194,0.73,0.8106,0.9,0.7
195,0.73,0.8106,0.9,0.7
196,0.73,0.8106,0.9,0.7
197,0.73,0.8106,0.9,0.7
198,0.73,0.8106,0.9,0.7
199,0.73,0.8106,0.9,0.7
200,0.73,0.8106,0.9,0.7
201,0.73,0.8106,0.9,0.7
202,0.73,0.8106,0.9,0.7
203,0.73,0.8106,0.9,0.7
204,0.73,0.8106,0.9,0.7
205,0.73,0.8106,0.9,0.7
206,0.73,0.8106,0.9,0.7
207,0.73,0.8106,0.9,0.7
208,0.73,0.8106,0.9,0.7
209,0.73,0.8106,0.9,0.7
210,0.73,0.8106,0.9,0.7
211,0.73,0.8106,0.9,0.7
212,0.73,0.8106,0.9,0.7
213,0.73,0.8106,0.9,0.7
214,0.73,0.8106,0.9,0.7
215,0.73,0.8106,0.9,0.7
216,0.73,0.8106,0.9,0.7
217,0.73,0.8106,0.9,0.7
218,0.73,0.8106,0.9,0.7
